שם מקורי,שם מתורגם
‫42 ימים באפלה,42_YMIM_BAPLH
12 צ'אמפס,12_TSAMPS
אגרוף בלב,AGRVP_BLB
אדה,ADH
אדון השמיים,ADVN_HSHMYYM
אדמה ותשוקה,ADMH_VTSHVKH
אהבה בוערת,AHBH_BVART
אהבה ומזל,AHBH_VMZL
אהבה ונקמה,AHBH_VNKMH
אהבה טהורה,AHBH_THVRH
אהבה לטינית,AHBH_LTYNYT
אהבה מנצחת,AHBH_MNTSHT
אהבה נצחית,AHBH_NTSHYT
אהבות אמיתיות,AHBVT_AMYTYVT
אהבת עולמים,AHBT_AVLMYM
אווה וניקול,AVVH_VNYKVL
אווה לונה,AVVH_LVNH
אולימפו,AVLYMPV
אחוזת התקווה,AHVZT_HTKVVH
אחים בלב,AHYM_BLB
איך לשרוד את חיי הרווקות,AYK_LSHRVD_AT_HYY_HRVVKVT
אימא יש רק שתיים,AYMA_YSH_RK_SHTYYM
אימפריית השקרים,AYMPRYYT_HSHKRYM
אין כמוך,AYN_KMVK
אין מתכון לאהבה,AYN_MTKVN_LAHBH
איסבל,AYSBL
אישה רעה,AYSHH_RAH
אישה של אף אחד,AYSHH_SHEL_AP_AHD
אל פרינסיפה,AL_PRYNSYPH
אל קלון,AL_KLVN
אל תשכח אותי,AL_TSHKH_AVTY
אליאדוס,ALYADVS
אלמה פיראטה,ALMH_PYRATH
אם תרשו לנו,AM_TRSHV_LNV
אמא חורגת,AIMA_HVRGT
אמיצות,AMYTSVT
אמנדה או,AMNDH_AV
אנה כפול שלוש,ANH_KPVL_SHLVSH
אנטונלה,ANTVNLH
אני בטי המכוערת,ANY_BTY_HMKVART
אני יודע מי אתה,ANY_YVDA_MY_ATH
אני צועני,ANY_TSVANY
אסיר,ASYR
אספרנסה,ASPRNSH
אצלנו,ATSLNV
אקאסיה,AKASYH
אקומודה,AKVMVDH
אשתו של השטן,ASHTV_SHEL_HSHTN
את לא משהו מיוחד,AT_LA_MSHHV_MYVHD
באה מאהבה,BAH_MAHBH
באהבה אין חוקים,BAHBH_AYN_HVKYM
בגוף אחד,BGVP_AHD
בגידה,BGYDH
בובה פראית,BVBH_PRAYT
בונקר המיליארדרים,BVNKR_HMYLYARDRYM
בזמן שישנת,BZMN_SHYSHNT
בטי בניו יורק,BTY_BNYV_YVRK
בין החומות,BYN_HHVMVT
בית אנוביס,BYT_ANVBYS
בית הנייר,BYT_HNYYR
בית הקטיפה,BYT_HKTYPH
בלב הסערה,BLB_HSARH
בנות הירח,BNVT_HYRH
בנות הלוויה,BNVT_HLVVYH
בקצב שלה,BKTSB_SHLH
ברית דם,BRYT_DM
בשם הפיתוי,BSHM_HPYTVY
גאות של תשוקה,GAVT_SHEL_TSHVKH
גבי סטאר,GBY_STAR
גם העשירים בוכים,GM_HASHYRYM_BVKYM
גנבים: הכתר של אגתה הקדושה,GNBYM_HKTR_SHEL_AGTH_HKDVSHH
גראן הוטל,GRAN_HVTL
"ד""ר אהבה",DR_AHBH
דם ואדמה,DM_VADMH
דרך לאהבה,DRK_LAHBH
האחד,HAHD
האישה שלי,HAYSHH_SHLY
האמת,HAMT
הבנות מהשורה האחרונה,HBNVT_MHSHVRH_HAHRVNH
הברון,HBRVN
הזיה,HZYH
‏הזמן שאתה מקבל,HZMN_SHATH_MKBL
הזמן שביניהם,HZMN_SHBYNYHM
החומה,HHVMH
החוקים של הלב,HHVKYM_SHEL_HLB
החמשושויה,HHMSHVSHVYH
הירושה,HYRVSHH
הלילה הכי ארוך,HLYLH_HKY_ARVK
המועדפת,HMVADPT
המועמדת,HMVAMDT
המורדים,HMVRDYM
המזל של לולי,HMZL_SHEL_LVLY
המחליפה,HMHLYPH
המשמר הקהילתי פלרמו,HMSHMR_HKHYLTY_PLRMV
המתחזה,HMTHZH
הנבחר,HNBHR
הנדר,HNDR
הנוכלים,HNVKLYM
הנקמה שלי,HNKMH_SHLY
הנשיא,HNSHYA
הסוד שלי,HSVD_SHLY
הסיפור של חואנה,HSYPVR_SHEL_HVANH
הפונדקאית,HPVNDKAYT
הפעם הראשונה,HPAM_HRASHVNH
הקוסמת,HKVSMT
הקורבן השמיני,HKVRBN_HSHMYNY
הקמע,HKMA
הראשון מבנינו,HRASHVN_MBNYNV
הרוזן,HRVZN
הרופאים,HRVPAYM
הרחק ממך,HRHK_MMK
השכונה שלנו,HSHKVNH_SHLNV
התאונה,HTAVNH
ויולטה,VYVLTH
ויקטוריה הקטנה,VYKTVRYH_HKTNH
ולנטינה,VLNTYNH
זהב ירוק,ZHB_YRVK
זו תמיד הייתי אני,ZV_TMYD_HYYTY_ANY
חבקי אותי חזק,HBKY_AVTY_HZK
חזור אליי,HZVR_ALYY
חטאים,HTAYM
חטאים דמומים,HTAYM_DMVMYM
חיים גנובים,HYYM_GNVBYM
חיים של אבא,HYYM_SHEL_ABA
חיים שלי,HYYM_SHLY
חלום החופש,HLVM_HHVPSH
"חם, לוהט, רותח: ספרד",HM_LVHT_RVTH_SPRD
חסרת לב,HSRT_LB
חתולה פראית,HTVLH_PRAYT
טרה נוסטרה,TRH_NVSTRH
טריפטיכון,TRYPTYKVN
יאגו,YAGV
יד הגורל,YD_HGVRL
‏יהיה בסדר,YHYH_BSDR
יומנו של ג'יגולו,YVMNV_SHEL_GYGVLV
יורשי הארץ,YVRSHY_HARTS
יצר התשוקה,YTSR_HTSHVKH
ירוק-עד,YRVKAD
כבודו: ספרד,KBVDV_SPRD
כוחה של אישה,KVHH_SHEL_AYSHH
כישוף,KYSHVP
כל הפרחים,KL_HPRHYM
כמעט מלאכים,KMAT_MLAKYM
לאהוב עד המוות,LAHVB_AD_HMVVT
לב אמיץ,LB_AMYTS
לה מודרנה,LH_MVDRNH
לוקרסיה: רצח במדריד,LVKRSYH_RTSH_BMDRYD
לחיות ללא רשות,LHYVT_LLA_RSHVT
לחיות מאהבה,LHYVT_MAHBH
ללא עקבות,LLA_AKBVT
לנצח את הלב,LNTSH_AT_HLB
לנצח את העבר,LNTSH_AT_HABR
לתת חיים,LTT_HYYM
מאה ימים,MAH_YMIM
מה שהלב רוצה,MH_SHHLB_RVTSH
"מהפכה ב-45 סל""ד",MHPKH_B45_SLD
מונטה כריסטו,MVNTH_KRYSTV
מוקדש לך,MVKDSH_LK
מורשת רקובה,MVRSHT_RKVBH
מחפשים את פרידה,MHPSHYM_AT_PRYDH
מחר ולתמיד,MHR_VLTMYD
מי הרג את שרה?,MY_HRG_AT_SHRH
מילה של כבוד,MYLH_SHEL_KBVD
מישהו צופה בך,MYSHHV_TSVPH_BK
מכרות התשוקה,MKRVT_HTSHVKH
מלאך ושטן,MLAK_VSHTN
מלכת הלבבות,MLKT_HLBBVT
מלכת הקצפת,MLKT_HKTSPT
ממלכת שמיים וארץ,MMLKT_SHMYYM_VARTS
מקום תחת השמש,MKVM_THT_HSHMSH
