שם מקורי,שם מתורגם
20 דקות,20_DKVT
"50 מ""ר",50_MR
אבא,ABA
אבן המשאלות,ABN_HMSHALVT
אגדה,AGDH
אגדות הלב,AGDVT_HLB
אגו,AGV
אדם אחר,ADM_AHR
אדמה מרה,ADMH_MRH
אדמה קשוחה,ADMH_KSHVHH
אהבה אחת,AHBH_AHT
אהבה אסורה,AHBH_ASVRH
אהבה אפלה,AHBH_APLH
אהבה בהפתעה,AHBH_BHPTAH
אהבה בוכייה,AHBH_BVKYYH
אהבה בכוכבים,AHBH_BKVKBYM
אהבה בריח תות,AHBH_BRYH_TVT
אהבה בשמיים,AHBH_BSHMYYM
אהבה בתיכון,AHBH_BTYKVN
אהבה וחטא,AHBH_VHTA
אהבה וכסף שחור,AHBH_VKSP_SHHVR
אהבה ועונש,AHBH_VAVNSH
אהבה וצדק,AHBH_VTSDK
אהבה ותקווה,AHBH_VTKVVH
אהבה להשכרה,AHBH_LHSHKRH
אהבה ללא גבולות,AHBH_LLA_GBVLVT
אהבה מסוכנת,AHBH_MSVKNT
אהבה מקרית,AHBH_MKRYT
אהבה משולשת,AHBH_MSHVLSHT
אהבה סוערת,AHBH_SVART
אהבה של אמא,AHBH_SHEL_AIMA
אהבה שמורה,AHBH_SHMVRH
‏אהבה שנה א,AHBH_SHNH_A
אהבת חיי,AHBT_HYY
אוהבים אנונימיים,AVHBYM_ANVNYMYYM
אומץ לב,AVMTS_LB
אוסמאן,AVSMAN
אור יום,AVR_YVM
אושר,AVSHR
אזל,AZL
אחיות,AHYVT
אימהות,AYMHVT
אין היגיון באהבה,AYN_HYGYVN_BAHBH
אין מילים לאהבה,AYN_MYLYM_LAHBH
איסטנבול האכזרית,AYSTNBVL_HAKZRYT
איפט,AYPT
איש המקל,AYSH_HMKL
אישה,AYSHH
אל טורקו,AL_TVRKV
אל תדאג לי,AL_TDAG_LY
אל תעזוב,AL_TAZVB
אלאג'ה,ALAGH
אלו הם חיי,ALV_HM_HYY
אלף ואחד לילות,ALP_VAHD_LYLVT
אלף לילה ולילה,ALP_LYLH_VLYLH
אם נאהב,AM_NAHB
אמא,AIMA
אמא יקרה,AIMA_YKRH
אמת נסתרת,AMT_NSTRT
אני אמא,ANY_AIMA
אסי,ASY
אסירה,ASYRH
אסף,ASP
ארג'ן,ARGN
ארמון החופש,ARMVN_HHVPSH
בגידה,BGYDH
בהאר,BHAR
בוזקיר,BVZKYR
בזהאט,BZHAT
בין העולם לבינינו,BYN_HAVLM_LBYNYNV
בית הסודות,BYT_HSVDVT
בית קברות,BYT_KBRVT
בלב פועם,BLB_PVAM
בלה והזאר,BLH_VHZAR
בלנקה,BLNKH
בלתי נשכח,BLTY_NSHKH
בנות גונש,BNVT_GVNSH
בעל אוהב,BAL_AVHB
בת השגריר,BT_HSHGRYR
בתוך ליבי,BTVK_LYBY
ג'נט,GNT
גאדאר,GADAR
גאווה גדולה,GAVVH_GDVLH
גאות ושפל,GAVT_VSHPL
גבר אוהב,GBR_AVHB
גברתי,GBRTY
גולג'מאל,GVLGMAL
גולפרי,GVLPRY
גומוש,GVMVSH
גונול,GVNVL
גורל,GVRL
גורל ביתך,GVRL_BYTK
גורל שבור,GVRL_SHBVR
גורלה של ילדה,GVRLH_SHEL_YLDH
גיבור,GYBVR
גיל המה עבר?!,GYL_HMH_ABR
דילמה,DYLMH
גירושין,GYRVSHYN
גן עדן אחר,GN_ADN_AHR
גן של ורדים,GN_SHEL_VRDYM
דילה,DYLH
דירת התמימות,DYRT_HTMYMVT
דמעות של אמא,DMAVT_SHEL_AIMA
דסטאן,DSTAN
האביב של בהאר,HABYB_SHEL_BHAR
האורחת,HAVRHT
האחים,HAHYM
האישה האחרת,HAYSHH_HAHRT
האלוף,HALVP
האני האחרת,HANY_HAHRT
האנציקלופדיה של אינסטנבול,HANTSYKLVPDYH_SHEL_AYNSTNBVL
האריה,HARYH
הבור,HBVR
הבחירה,HBHYRH
הבלתי חיים,HBLTY_HYYM
הבן שלי,HBN_SHLY
הגבר הלא נכון,HGBR_HLA_NKVN
הדוקטור,HDVKTVR
ההבטחה,HHBTHH
הזמן שחולף,HZMN_SHHVLP
החברה הגבוהה,HHBRH_HGBVHH
החדר האדום,HHDR_HADVM
החדר האדום: יוון,HHDR_HADVM_YVVN
החטא של סונה,HHTA_SHEL_SVNH
החייט,HHYYT
החיים האחרים,HHYYM_HAHRYM
החיים הנפלאים שלי,HHYYM_HNPLAYM_SHLY
החיים יפים,HHYYM_YPYM
החיים נמשכים,HHYYM_NMSHKYM
החיים שלנו,HHYYM_SHLNV
החשודים הרגילים,HHSHVDYM_HRGYLYM
הטבעת,HTBAT
היג'ראן,HYGRAN
היו זמנים בקפריסין,HYV_ZMNYM_BKPRYSYN
היופי שבך,HYVPY_SHBK
היחידה,HYHYDH
הילד,HYLD
הילדה מהעמק הירוק,HYLDH_MHAMK_HYRVK
הים השחור,HYM_HSHHVR
היצור,HYTSVR
הכבוד של אשרף,HKBVD_SHEL_ASHRP
הכלה מאיסטנבול,HKLH_MAYSTNBVL
הכתם,HKTM
הלב זוכר,HLB_ZVKR
הלב שומע,HLB_SHVMA
המומחה,HMVMHH
המורה,HMVRH
המזל שלי,HMZL_SHLY
המלכה,HMLKH
המנהיג,HMNHYG
המשפחה,HMSHPHH
המשפחה שלנו,HMSHPHH_SHLNV
המתמחים,HMTMHYM
הנערה,HNARH
הנערה עם הצעיף האדום,HNARH_AM_HTSAYP_HADVM
הנערה שאהבתי,HNARH_SHAHBTY
הסוד שלנו,HSVD_SHLNV
הסולטן,HSVLTN
הסוף,HSVP
הסיפור של מראל,HSYPVR_SHEL_MRAL
הסיפור שלנו,HSYPVR_SHLNV
הסכר,HSKR
הסערה שבלב,HSARH_SHBLB
העורב,HAVRB
העות'מאנים לידתה של אימפריה,HAVTMANYM_LYDTH_SHEL_AYMPRYH
העיר האבודה,HAYR_HABVDH
הפרי האסור,HPRY_HASVR
הצד הטוב שלי,HTSD_HTVB_SHLY
הקולג',HKVLG
הקיסוס,HKYSVS
הקיץ האחרון,HKYTS_HAHRVN
הקש על דלתי,HKSH_AL_DLTY
הראש הקודח,HRASH_HKVDH
הרופא,HRVPA
השושלת,HSHVSHLT
השכונה,HSHKVNH
השלדג,HSHLDG
השקר,HSHKR
השקר המתוק שלי,HSHKR_HMTVK_SHLY
התאמה מושלמת,HTAMH_MVSHLMT
התחייה: ארטואורול,HTHYYH_ARTVAVRVL
התחלה חדשה,HTHLH_HDSHH
התמימים,HTMYMYM
התנפצות,HTNPTSVT
התרסקות,HTRSKVT
ונדטה,VNDTH
ורד שחור,VRD_SHHVR
זאב,ZAB
זוכרים אהבה,ZVKRYM_AHBH
זמן לאהבה,ZMN_LAHBH
זמן ללכת,ZMN_LLKT
זעקת אם,ZAKT_AM
חבויה,HBVYH
חדר 309,HDR_309
חוזר לאהוב,HVZR_LAHVB
חולם עליך,HVLM_ALYK
חופשייה,HVPSHYYH
חוק האהבה,HVK_HAHBH
חיבה נסתרת,HYBH_NSTRT
חיי סולטאן,HYY_SVLTAN
חיים בהשאלה,HYYM_BHSHALH
חיים חדשים,HYYM_HDSHYM
חיים מרים,HYYM_MRYM
חיים משתנים,HYYM_MSHTNYM
חיים צנועים,HYYM_TSNVAYM
חיכיתי לך,HYKYTY_LK
חלום מתוק,HLVM_MTVK
חלומות בהקיץ,HLVMVT_BHKYTS
חלומות גדולים,HLVMVT_GDVLYM
חלק ממני,HLK_MMNY
חצות בפרה פאלאס,HTSVT_BPRH_PALAS
יופי מסוכן,YVPY_MSVKN
ים הדמעות,YM_HDMAVT
ימים חורפיים,YMIM_HVRPYYM
ימים טובים,YMIM_TVBYM
ימים יפים,YMIM_YPYM
יפה שלי,YPH_SHLY
יקום מקביל,YKVM_MKBYL
ירח מלא,YRH_MLA
יש גם אפשרות אחרת,YSH_GM_APSHRVT_AHRT
יש לי בת,YSH_LY_BT
יש לי תקווה,YSH_LY_TKVVH
יתומות,YTVMVT
כאב האהבה,KAB_HAHBH
כבוד,KBVD
כבוד המשפחה,KBVD_HMSHPHH
כבודו: טורקיה,KBVDV_TVRKYH
כביסה מלוכלכת,KBYSH_MLVKLKT
כלה במנוסה,KLH_BMNVSH
כלוב כחול,KLVB_KHVL
כלוב של זהב,KLVB_SHEL_ZHB
כמו שאני,KMV_SHANY
כנפיים שבורות,KNPYYM_SHBVRVT
לא מושלם,LA_MVSHLM
לא רואה בעיניים,LA_RVAH_BAYNYYM
לאהוב שוב,LAHVB_SHVB
לב אחד,LB_AHD
לב מטורף,LB_MTVRP
לב פצוע,LB_PTSVA
לב קטן,LB_KTN
לב שחור,LB_SHHVR
לב שלם,LB_SHLM
לבבות בודדים,LBBVT_BVDDYM
להבות הגורל,LHBVT_HGVRL
להבות של תשוקה,LHBVT_SHEL_TSHVKH
להיאחז בחיים,LHYAHZ_BHYYM
להתחיל מחדש,LHTHYL_MHDSH
לוח שחור,LVH_SHHVR
לחזור הביתה,LHZVR_HBYTH
ליילה,LYYLH
לייליפר,LYYLYPR
לילה בחודש יוני,LYLH_BHVDSH_YVNY
למען בני,LMAN_BNY
לעולמים,LAVLMYM
לשאת את הלב,LSHAT_AT_HLB
מאוהבת,MAVHBT
מבטיח לך,MBTYH_LK
מגרסוס,MGRSVS
מה שאתה אוהב,MH_SHATH_AVHB
מונטכריסטו 2023,MVNTKRYSTV_2023
מוסכמות,MVSKMVT
מועדון הלילה,MVADVN_HLYLH
מחיאות כפיים רמות,MHYAVT_KPYYM_RMVT
מחיר האהבה,MHYR_HAHBH
מחיר התשוקה,MHYR_HTSHVKH
מחכה לאביב,MHKH_LABYB
מחכים לשמש,MHKYM_LSHMSH
מיתרי הלב,MYTRY_HLB
מכתב פרידה,MKTB_PRYDH
מכתבים אל העתיד,MKTBYM_AL_HATYD
מלון הסודות,MLVN_HSVDVT
מלחמת הוורדים,MLHMT_HVVRDYM
מלכודת,MLKVDT
מלכודת אהבה,MLKVDT_AHBH
מלכת הלילה,MLKT_HLYLH
"ממי ברחנו, אימא?",MMY_BRHNV_AYMA
מנקשה וחליל,MNKSHH_VHLYL
מעבר לשמש,MABR_LSHMSH
מעגל הנקמה,MAGL_HNKMH
מר ומתוק,MR_VMTVK
מראשלי,MRASHLY
מרוסק,MRVSK
מריאם,MRYAM
מריה ומוסטפה,MRYH_VMVSTPH
משבר אמון,MSHBR_AMVN
משולש רומנטי,MSHVLSH_RVMNTY
משחק הגורל,MSHHK_HGVRL
משחק השתיקה,MSHHK_HSHTYKH
מתחת לפני השטח,MTHT_LPNY_HSHTH
מתכון לאהבה,MTKVN_LAHBH
נאהבים,NAHBYM
נבגדת,NBGDT
נגד הזרם,NGD_HZRM
