שם מקורי,שם מתורגם
אבטיח מנצנץ,ABTYH_MNTSNTS
"אהבה בע""מ",AHBH_BAM
אהבה בתיכון,AHBH_BTYKVN
אהבה כל כך יפה,AHBH_KL_KK_YPH
אהבה כמו בסרטים,AHBH_KMV_BSRTYM
"אהבה, למרות הכל",AHBH_LMRVT_HKL
"אהבתי, לא אהבתי",AHBTY_LA_AHBTY
אחות בית הספר המופלאה,AHVT_BYT_HSPR_HMVPLAH
"אליס, הנשק האולטימטיבי",ALYS_HNSHK_HAVLTYMTYBY
אלכימיית הנשמות,ALKYMYYT_HNSHMVT
"אתה, אני והולו",ATH_ANY_VHVLV
בחזרה,BHZRH
בית הנייר: קוריאה,BYT_HNYYR_KVRYAH
בית משפט לנוער,BYT_MSHPT_LNVAR
בית של אהבה,BYT_SHEL_AHBH
בלי רחמים,BLI_RHMYM
"בתיאבון, הוד מלכותך",BTYABVN_HVD_MLKVTK
גברות קטנות,GBRVT_KTNVT
גברת יום ולילה,GBRT_YVM_VLYLH
גיבור חלש,GYBVR_HLSH
גן המטאורים,GN_HMTAVRYM
"ד""ר רפאים",DR_RPAYM
דו דו סול סול לה לה סול,DV_DV_SVL_SVL_LH_LH_SVL
דואט בדרכים,DVAT_BDRKYM
דונה!,DVNH
דוקטור דכדוך,DVKTVR_DKDVK
האהבה הראשונה,HAHBH_HRASHVNH
הבחורה במסכה,HBHVRH_BMSKH
הבן של השכנה,HBN_SHEL_HSHKNH
היהלום שבכתר,HYHLVM_SHBKTR
היררכיה,HYRRKYH
הכל חשוף,HKL_HSHVP
המדינה שלי,HMDYNH_SHLY
המחוננים,HMHVNNYM
המינון היומי של שמחת חיים,HMYNVN_HYVMY_SHEL_SHMHT_HYYM
המעמד הגבוה,HMAMD_HGBVH
המערבולת,HMARBVLT
הפופ-אפ בר המיסטי,HPVPAP_BR_HMYSTY
הפלייבוק של המתמחים,HPLYYBVK_SHEL_HMTMHYM
הפרקליטה וו,HPRKLYTH_VV
הצעה עסקית,HTSAH_ASKYT
השד הפרטי שלי,HSHD_HPRTY_SHLY
התראת אהבה,HTRAT_AHBH
זיכרונות מאלהמברה,ZYKRVNVT_MALHMBRH
חדרי הנפש,HDRY_HNPSH
חדרי הנפש,HDRY_HNPSH
חוכמת הכלא,HVKMT_HKLA
חיוך מלכותי,HYVK_MLKVTY
טיול ליום אחד,TYVL_LYVM_AHD
יומני השחרור שלי,YVMNY_HSHHRVR_SHLY
יופי אמיתי,YVPY_AMYTY
ילדים של אף אחד,YLDYM_SHEL_AP_AHD
ים השלווה,YM_HSHLVVH
כבר לא גיבורים,KBR_LA_GYBVRYM
כלבי ציד,KLBY_TSYD
כמו בבית,KMV_BBYT
כמו פרחים בחול,KMV_PRHYM_BHVL
כשהחיים נותנים לך מנדרינות,KSHHHYYM_NVTNYM_LK_MNDRYNVT
כשהקמליה פורחת,KSHHKMLYH_PVRHT
להגיש קר,LHGYSH_KR
להציל אותך,LHTSYL_AVTK
להרגיש קר,LHRGYSH_KR
להתאהב בחיוך שלך,LHTAHB_BHYVK_SHLK
מאהבי הירח,MAHBY_HYRH
מאחורי המגע שלך,MAHVRY_HMGA_SHLK
מופע ה-8,MVPA_H8
מזוודה,MZVVDH
מיתרי הלב,MYTRY_HLB
מכתב למלך,MKTB_LMLK
מלכת הדמעות,MLKT_HDMAVT
מלכת הצללים,MLKT_HTSLLYM
מעבדת תפוחי האדמה,MABDT_TPVHY_HADMH
מר סאנשיין,MR_SANSHYYN
מר פלנקטון,MR_PLNKTVN
משקה של אהבה,MSHKH_SHEL_AHBH
"נודלס ביום, שדים בלילה",NVDLS_BYVM_SHDYM_BLYLH
נחיתת חירום לאהבה,NHYTT_HYRVM_LAHBH
נחיתת חירום של אהבה,NHYTT_HYRVM_SHEL_AHBH
נס,NS
נערי המחבט,NARY_HMHBT
נקמה סמויה,NKMH_SMVYH
נקמה קרה,NKMH_KRH
נשות המיליון,NSHVT_HMYLYVN
נשיא בית הספר שלי,NSHYA_BYT_HSPR_SHLY
סודות המשפטנית אוק,SVDVT_HMSHPTNYT_AVK
סיאול הסודית שלנו,SYAVL_HSVDYT_SHLNV
סירנות: שורדות באי האש,SYRNVT_SHVRDVT_BAY_HASH
עבור לגן עדן,ABVR_LGN_ADN
"עו""ד פה גדול",AVD_PH_GDVL
עמדת נחיתות,AMDT_NHYTVT
עניין של טעם,ANYYN_SHEL_TAM
"עשרים וחמש, עשרים ואחת",ASHRYM_VHMSH_ASHRYM_VAHT
פונג,PVNG
פער,PAR
פריחת נעורים,PRYHT_NAVRYM
צאצאי השמש,TSATSAY_HSHMSH
קדושי הנרקוס,KDVSHY_HNRKVS
רומן בגשם,RVMN_BGSHM
רומן לילי,RVMN_LYLY
רומנטיקה היא ספר בונוס,RVMNTYKH_HYA_SPR_BVNVS
תהילת הנקמה,THYLT_HNKMH
תוכנית העשרה,TVKNYT_HASHRH
תוכניתו של השטן,TVKNYTV_SHEL_HSHTN
תולדות ארת’דאל,TVLDVT_ARTDAL
תפסנו אותך!,TPSNV_AVTK
תתעודדו,TTAVDDV
