שם מקורי,שם מתורגם
2.3 בשבוע,23_BSHBVA
4 חתונות,4_HTVNVT
4:20,420
4X,4X
6 אבות,6_ABVT
7 באוקטובר: קריאת חירום,7_BAVKTVBR_KRYAT_HYRVM
10 עובדות על...,10_AVBDVT_AL
15 דקות,15_DKVT
20 שנה לשמיניה,20_SHNH_LSHMYNYH
24/7 תום אבני,247_TVM_ABNY
30 עם,30_AM
"100 בתנ""ך",100_BTNK
אבא מטפלת,ABA_MTPLT
אבא משתדל,ABA_MSHTDL
אבאלה,ABALH
אבודים,ABVDYM
אבודים באפריקה,ABVDYM_BAPRYKH
אבודים בריבוע,ABVDYM_BRYBVA
אבי ביטר חי בסרט,ABY_BYTR_HY_BSRT
אבי הזמר מארח,ABY_HZMR_MARH
אביב או אייל,ABYB_AV_AYYL
אבירם כץ,ABYRM_KTS
אגדת דשא,AGDT_DSHA
אדומות,ADVMVT
אדוני המאמנת,ADVNY_HMAMNT
אדמה,ADMH
אהבה זה כואב,AHBH_ZH_KVAB
אהבה מעבר לפינה,AHBH_MABR_LPYNH
אובוי,AVBVY
אוטוגלידה,AVTVGLYDH
אוטונומיות,AVTVNVMYVT
אולי הפעם,AVLY_HPAM
אופוריה,AVPVRYH
אור ראשון,AVR_RASHVN
אורי ואלה,AVRY_VALH
אורים ותומים,AVRYM_VTVMYM
אזהרת מסע,AZHRT_MSA
אחד העם 1,AHD_HAM_1
אחד העם 101,AHD_HAM_101
אחד נגד מאה,AHD_NGD_MAH
אחד על אחד,AHD_AL_AHD
אחותי ג'קי,AHVTY_GKY
אחותי קפצה כיתה,AHVTY_KPTSH_KYTH
אחים לכל החיים,AHYM_LKL_HHYYM
אחמד וסלים,AHMD_VSLYM
אחרי הצלצול,AHRY_HTSLTSVL
אחרינו המבול?,AHRYNV_HMBVL
אחשלי רוח,AHSHLY_RVH
אחת אפס אפס,AHT_APS_APS
אטלנטיקה,ATLNTYKH
איט אנד ראן,AYT_AND_RAN
איט גירל,AYT_GYRL
אייל גולן קורא לך,AYYL_GVLN_KVRA_LK
איכילוב,AYKYLVB
אילת,AYLT
אין דברים כאלה,AYN_DBRYM_KALH
אין דברים כאלה,AYN_DBRYM_KALH
אינדל,AYNDL
איננה,AYNNH
אינפיניטי,AYNPYNYTY
אינתיפאדה,AYNTYPADH
איסט סייד,AYST_SYYD
איפה אתה חי?,AYPH_ATH_HY
איצ'ה,AYTSH
איש הנחשים,AYSH_HNHSHYM
איש חשוב מאוד,AYSH_HSHVB_MAVD
אל עצמי,AL_ATSMY
אל תפילו את המליון,AL_TPYLV_AT_HMLYVN
אליפים,ALYPYM
אליצורה,ALYTSVRH
אלישע,ALYSHA
אלכס בעד ונגד,ALKS_BAD_VNGD
אלנבי,ALNBY
אלף,ALP
אם וכאשר,AM_VKASHR
אמא ואבאז,AIMA_VABAZ
אמא מביכה,AIMA_MBYKH
אמאלה,AMALH
אמבולנס,AMBVLNS
אנדרדוגס,ANDRDVGS
אנחנו במפה,ANHNV_BMPH
אני גדול,ANY_GDVL
אני גיטרה,ANY_GYTRH
אניגמה,ANYGMH
אננדה,ANNDH
אסירות,ASYRVT
אסקייפ,ASKYYP
אסתי המכוערת,ASTY_HMKVART
אף אחד לא עוזב את פאלו אלטו,AP_AHD_LA_AVZB_AT_PALV_ALTV
אף פעם לא מאוחר,AP_PAM_LA_MAVHR
אקסטרים מייקאובר: ישראל,AKSTRYM_MYYKAVBR_YSHRAL
ארבעה בעקבות החג,ARBAH_BAKBVT_HHG
ארץ האוכל,ARTS_HAVKL
ארץ נהדרת,ARTS_NHDRT
אשתו של גיורא,ASHTV_SHEL_GYVRA
אתגר היצירה,ATGR_HYTSYRH
באש ובמים,BASH_VBMYM
בהפוכה,BHPVKH
בובה של לילה,BVBH_SHEL_LYLH
בובה של מדינה,BVBH_SHEL_MDYNH
בובות,BVBVT
בובי ואני,BVBY_VANY
בוגד,BVGD
בולדוזר,BVLDVZR
בוליווד,BVLYVVD
בוס בהסוואה,BVS_BHSVVAH
בופור: הסדרה,BVPVR_HSDRH
בזהות בדויה,BZHVT_BDVYH
בטיפול,BTYPVL
ביום שהאדמה רעדה,BYVM_SHHADMH_RADH
ביטים,BYTYM
בייק אוף: ישראל,BYYK_AVP_YSHRAL
בילי,BYLY
בין אריזונה לנס ציונה,BYN_ARYZVNH_LNS_TSYVNH
ביפ קומדי בר,BYP_KVMDY_BR
ביפ קומדי האוס,BYP_KVMDY_HAVS
בית הכלבים,BYT_HKLBYM
בית משותף,BYT_MSHVTP
בית ספר דרדרים,BYT_SPR_DRDRYM
בית ספר למכשפים,BYT_SPR_LMKSHPYM
בית ספר לשטויות,BYT_SPR_LSHTVYVT
בית פזמון,BYT_PZMVN
בלאדי מורי,BLADY_MVRY
בלו נטלי,BLV_NTLY
בלוגה בלוז,BLVGH_BLVZ
בלי בושה,BLI_BVSHH
בלי גרביים,BLI_GRBYYM
בלי סודות,BLI_SVDVT
בלקספייס,BLKSPYYS
בלתי הפיך,BLTY_HPYK
בלתי נראה,BLTY_NRAH
במרחק 100 מטר,BMRHK_100_MTR
בנות ברק,BNVT_BRK
בנות הזהב,BNVT_HZHB
בני אור,BNY_AVR
בני מצווה,BNY_MTSVVH
בני ערובה: ישראל,BNY_ARVBH_YSHRAL
בעלת החלומות,BALT_HHLVMVT
בעקבות הסיפורים הקסומים,BAKBVT_HSYPVRYM_HKSVMYM
בצפר,BTSPR
בצפר,BTSPR
בקרוב אצלי,BKRVB_ATSLY
ברוכים הבאים לבית ספר חגבים,BRVKYM_HBAYM_LBYT_SPR_HGBYM
ברלין בלוז,BRLYN_BLVZ
בשבילה גיבורים עפים,BSHBYLH_GYBVRYM_APYM
בשורות טובות,BSHVRVT_TVBVT
בת אל הבתולה,BT_AL_HBTVLH
בת השוטר,BT_HSHVTR
בת-ים - ניו-יורק,BTYM__NYVYVRK
בתולות,BTVLVT
ג'ודה,GVDH
ג'ודי ואלירז,GVDY_VALYRZ
ג'וני,GVNY
ג'וני ואבירי הגליל,GVNY_VABYRY_HGLYL
ג'ינג'י,GYNGY
ג'ינג'י,GYNGY
גאליס,GALYS
גב האומה,GB_HAVMH
גבוה וגרינבאום,GBVH_VGRYNBAVM
גדול עלינו,GDVL_ALYNV
גוט טאלנט: ישראל,GVT_TALNT_YSHRAL
גולדה ומאיר,GVLDH_VMAYR
גולני - ריאליטי טירונות,GVLNY__RYALYTY_TYRVNVT
גולסטאר,GVLSTAR
גולשי ספות,GVLSHY_SPVT
גוף שלישי,GVP_SHLYSHY
גור ואוח,GVR_VAVH
גחליליות,GHLYLYVT
גיבור אמיתי,GYBVR_AMYTY
גיבורים,GYBVRYM
גינת הפלאים של רינת,GYNT_HPLAYM_SHEL_RYNT
גינת הצוציקים,GYNT_HTSVTSYKYM
גינת הצוציקים,GYNT_HTSVTSYKYM
גירושים נפלאים,GYRVSHYM_NPLAYM
גלילאו,GLYLAV
גן הצוציקים מארח את רינת גבאי,GN_HTSVTSYKYM_MARH_AT_RYNT_GBAY
גן חיות,GN_HYVT
גרעינים,GRAYNYM
ד.נ. גליל מערבי,DN_GLYL_MARBY
דאוס,DAVS
דאנסטורי,DANSTVRY
דה וויס: ישראל,DH_VVYS_YSHRAL
דה וול,DH_VVL
דה פור,DH_PVR
דובדבני וקובץ',DVBDBNY_VKVBTS
דוד חיים בא,DVD_HYYM_BA
דוז פואה,DVZ_PVAH
דיבוקים,DYBVKYM
דידי בשישי,DYDY_BSHYSHY
דייט בחשיכה,DYYT_BHSHYKH
דיין: המשפחה הראשונה,DYYN_HMSHPHH_HRASHVNH
דן ומוזלי,DN_VMVZLY
דנה קמה,DNH_KMH
דני הוליווד,DNY_HVLYVVD
דפנה דודידו וחברים,DPNH_DVDYDV_VHBRYM
